ticker,date,time,title,compound
GOOG,2023-08-20,02:55PM,Americas Tech Giants Rush to Comply With New Curbs in Europe,0.0
GOOG,2023-08-19,07:04PM,Mohnish Pabrais 10 Biggest Investments in 10 Years,0.0
GOOG,2023-08-18,08:50PM,UPDATE 2-California regulator probes crashes involving GM's Cruise robotaxis,0.0
GOOG,2023-08-17,07:51PM,Netflix's Top Stories: Cloud Gaming and Stranger Things,0.2023
GOOG,2023-08-16,11:26PM,Alphabets Verily Plans Cost Cuts Amid Pressure on Other Bets to Rein In Spending,-0.5267
GOOG,2023-08-15,06:01PM,"Google to train 20,000 Nigerians in digital skills",0.0
GOOG,2023-08-14,06:02PM,Bill Ackman's Q2 2023 13F Filing Update: Key Trades and Portfolio Overview,0.0
GOOG,2023-08-13,10:51PM,Google-backed Anthropic raises $100 million from South Korea's SK Telecom,0.0
AMZN,2023-08-20,02:35PM,Warren Buffetts 11 Growth Stock Picks,0.3818
AMZN,2023-08-19,11:15AM,2 Artificial Intelligence (AI) Growth Stocks That Could Join Apple Stock in the $3 Trillion Club by 2030,0.7845
AMZN,2023-08-18,07:10PM,Why Are Stocks Moving Lower?,-0.296
AMZN,2023-08-17,11:12PM,Q2 2023 Children's Place Inc Earnings Call,0.0
AMZN,2023-08-16,08:42PM,Best Strong Buy Stocks for a Stock Picker's Market,0.8176
AMZN,2023-08-15,06:02PM,Winner Sells All Review: Battle of Bricks and Clicks,0.296
AAPL,2023-08-20,04:23PM,10 Stocks ChatGPT Said Will Make Me Rich in 10 Years,0.5574
AAPL,2023-08-19,11:15AM,2 Artificial Intelligence (AI) Growth Stocks That Could Join Apple Stock in the $3 Trillion Club by 2030,0.7845
AAPL,2023-08-18,05:15PM,1 Top Tech Stock to Buy During a Recession,-0.25
AAPL,2023-08-17,06:21PM,Apple should buy ESPN from Disney: Analyst,0.0
AAPL,2023-08-16,08:52PM,Apple's Stock Top Legal News Today: US iPhone Settlement and UK Encryption Controversies,0.3182
AAPL,2023-08-15,04:19PM,Norways $1.4 Trillion Wealth Fund Returns 10% on Tech Surge,0.4939
AAPL,2023-08-14,09:24PM,"Investors Look at Apple, Amazon, and More",0.1779
AAPL,2023-08-13,07:11AM,"1 Magnificent Warren Buffett Stock That Turned $10,000 Into $68,000",0.5994
AAPL,2023-08-12,03:09PM,Samsung Galaxy Z Flip 5 review: Foldables are here to stay,0.0
AAPL,2023-08-11,09:00PM,Amazon Wants You to Pay With Your Palm. Its a Sneak Attack on Apple and Google.,-0.4215
MSFT,2023-08-20,04:23PM,10 Stocks ChatGPT Said Will Make Me Rich in 10 Years,0.5574
MSFT,2023-08-19,09:41AM,"Got $5,000? Buy These 2 Stocks and Hold Until Retirement.",0.0
MSFT,2023-08-18,02:55PM,Best Dow Jones Stocks To Buy And Watch In August 2023: Apple Reverses,0.6369
MSFT,2023-08-17,06:01PM,"Are AI job wages of up to $900,000 justified?",0.4019
MSFT,2023-08-16,12:01PM,25 Countries that Give the Most Foreign Aid Per Capita,0.0
MSFT,2023-08-15,04:19PM,Norways $1.4 Trillion Wealth Fund Returns 10% on Tech Surge,0.4939
