symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2018-08-21 00:00:00+00:00,215.04,217.19,214.03,216.8,26159755,51.483983243,51.9987273091,51.2421732399,51.9053551297,104639020,0.0,1.0
AAPL,2018-08-22 00:00:00+00:00,215.05,216.36,213.84,214.1,19018131,51.4863774015,51.800012158,51.1966842294,51.258932349,76072524,0.0,1.0
AAPL,2018-08-23 00:00:00+00:00,215.49,217.05,214.6,214.65,18883224,51.5917203731,51.9652090909,51.3786402714,51.3906110636,75532896,0.0,1.0
AAPL,2018-08-24 00:00:00+00:00,216.16,216.9,215.11,216.6,18476356,51.7521289891,51.9292967142,51.5007423521,51.8574719607,73905424,0.0,1.0
AAPL,2018-08-27 00:00:00+00:00,217.94,218.74,216.33,217.15,20525117,52.1782891926,52.3698218684,51.7928296827,51.9891506753,82100468,0.0,1.0
AAPL,2018-08-28 00:00:00+00:00,219.7,220.54,218.92,219.01,22776766,52.5996610793,52.8007703888,52.4129167204,52.4344641465,91107064,0.0,1.0
AAPL,2018-08-29 00:00:00+00:00,222.98,223.49,219.41,220.15,27254804,53.3849450499,53.5070471307,52.5302304843,52.7073982094,109019216,0.0,1.0
AAPL,2018-08-30 00:00:00+00:00,225.03,228.26,222.4,223.25,48793824,53.8757475315,54.6490607099,53.24608386,53.449587328,195175296,0.0,1.0
AAPL,2018-08-31 00:00:00+00:00,227.63,228.87,226.0,226.51,43340134,54.4982287277,54.7951043751,54.1079809009,54.2300829817,173360536,0.0,1.0
AAPL,2018-09-04 00:00:00+00:00,228.36,229.18,226.63,228.41,27390132,54.6730022943,54.869323287,54.258812883,54.6849730866,109560528,0.0,1.0
AAPL,2018-09-05 00:00:00+00:00,226.87,229.67,225.1,228.99,33332960,54.3162726858,54.9866370509,53.8925066406,54.8238342765,133331840,0.0,1.0
AAPL,2018-09-06 00:00:00+00:00,223.1,227.35,221.3,226.23,34289976,53.4136749513,54.4311922912,52.9827264308,54.1630465451,137159904,0.0,1.0
AAPL,2018-09-07 00:00:00+00:00,221.3,225.37,220.71,221.85,37619810,52.9827264308,53.9571489187,52.8414710824,53.1144051454,150479240,0.0,1.0
AAPL,2018-09-10 00:00:00+00:00,218.33,221.85,216.47,220.95,39516453,52.2716613721,53.1144051454,51.8263479009,52.8989308852,158065812,0.0,1.0
AAPL,2018-09-11 00:00:00+00:00,223.85,224.3,216.56,218.01,35749049,53.5932368348,53.7009739649,51.847895327,52.1950483018,142996196,0.0,1.0
AAPL,2018-09-12 00:00:00+00:00,221.07,225.0,219.84,224.94,49278740,52.9276607865,53.8685650562,52.6331792976,53.8542001055,197114960,0.0,1.0
AAPL,2018-09-13 00:00:00+00:00,226.41,228.35,222.57,223.52,41706377,54.2061413972,54.6706081359,53.2867845536,53.514229606,166825508,0.0,1.0
AAPL,2018-09-14 00:00:00+00:00,223.84,226.84,222.52,225.75,31999289,53.5908426763,54.3090902104,53.2748137613,54.0481269397,127997156,0.0,1.0
AAPL,2018-09-17 00:00:00+00:00,217.88,222.95,217.27,222.15,37195133,52.163924242,53.3777625746,52.0178805767,53.1862298988,148780532,0.0,1.0
AAPL,2018-09-18 00:00:00+00:00,218.24,221.85,217.12,217.79,31571712,52.250113946,53.1144051454,51.9819682,52.1423768159,126286848,0.0,1.0
AAPL,2018-09-19 00:00:00+00:00,218.37,219.62,215.3,218.5,27123833,52.2812380059,52.5805078117,51.5462313626,52.3123620657,108495332,0.0,1.0
AAPL,2018-09-20 00:00:00+00:00,220.03,222.28,219.15,220.24,26608794,52.678668308,53.2173539586,52.4679823647,52.7289456354,106435176,0.0,1.0
AAPL,2018-09-21 00:00:00+00:00,217.66,221.36,217.29,220.78,96246748,52.1112527561,52.9970913815,52.0226688936,52.8582301916,384986992,0.0,1.0
AAPL,2018-09-24 00:00:00+00:00,220.79,221.26,216.63,216.82,27693358,52.86062435,52.973149797,51.8646544361,51.9101434466,110773432,0.0,1.0
