symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BUD,2018-08-21 00:00:00+00:00,100.22,101.45,99.99,101.32,2699779,92.8162878694,93.9554221148,92.6032790267,93.8350258125,2699779,0.0,1.0
BUD,2018-08-22 00:00:00+00:00,98.47,99.88,98.36,99.82,1976199,91.1955684145,92.5014052324,91.0936946201,92.4458377082,1976199,0.0,1.0
BUD,2018-08-23 00:00:00+00:00,97.8,98.3,97.61,97.89,720644,90.5750643946,91.038127096,90.399100568,90.6584156808,720644,0.0,1.0
BUD,2018-08-24 00:00:00+00:00,98.21,98.55,98.07,98.49,844152,90.9547758097,91.2696584467,90.8251182533,91.2140909225,844152,0.0,1.0
BUD,2018-08-27 00:00:00+00:00,98.68,98.91,98.2,98.77,1152733,91.390054749,91.6030635917,90.9455145557,91.4734060353,1152733,0.0,1.0
BUD,2018-08-28 00:00:00+00:00,97.99,99.35,97.86,99.34,957444,90.7510282211,92.0105587689,90.6306319187,92.0012975149,957444,0.0,1.0
BUD,2018-08-29 00:00:00+00:00,97.95,98.18,97.79,97.98,979151,90.713983205,90.9269920476,90.5658031405,90.7417669671,979151,0.0,1.0
BUD,2018-08-30 00:00:00+00:00,95.59,96.45,95.26,96.18,1772585,88.5283272544,89.3247951008,88.2227058714,89.074741242,1772585,0.0,1.0
BUD,2018-08-31 00:00:00+00:00,93.23,94.32,92.65,93.87,1931378,86.3426713037,87.3521479928,85.8055185701,86.9353915615,1931378,0.0,1.0
BUD,2018-09-04 00:00:00+00:00,91.96,92.54,91.76,92.07,1992277,85.1664920422,85.7036447758,84.9812669616,85.2683658365,1992277,0.0,1.0
BUD,2018-09-05 00:00:00+00:00,90.9,91.13,90.13,90.48,1915950,84.1847991152,84.3978079578,83.471682555,83.795826446,1915950,0.0,1.0
BUD,2018-09-06 00:00:00+00:00,90.23,90.81,89.93,90.52,1895229,83.5642950953,84.1014478289,83.2864574745,83.8328714621,1895229,0.0,1.0
BUD,2018-09-07 00:00:00+00:00,89.74,90.47,88.49,88.85,4147558,83.1104936479,83.786565192,81.9528368944,82.2862420394,4147558,0.0,1.0
BUD,2018-09-10 00:00:00+00:00,89.88,90.39,89.52,90.0,1427590,83.2401512043,83.7124751598,82.9067460593,83.3512862527,1427590,0.0,1.0
BUD,2018-09-11 00:00:00+00:00,88.02,89.122,87.9,88.57,3062129,81.5175579551,82.538148149,81.4064229068,82.0269269267,3062129,0.0,1.0
BUD,2018-09-12 00:00:00+00:00,88.13,88.49,87.32,87.74,2528017,81.6194317494,81.9528368944,80.8692701731,81.2582428423,2528017,0.0,1.0
BUD,2018-09-13 00:00:00+00:00,89.35,89.69,88.76,89.36,2626119,82.7493047408,83.0641873778,82.2028907532,82.7585659949,2626119,0.0,1.0
BUD,2018-09-14 00:00:00+00:00,89.29,89.89,88.58,89.62,1569941,82.6937372167,83.2494124584,82.0361881807,82.9993585996,1569941,0.0,1.0
BUD,2018-09-17 00:00:00+00:00,89.8,89.85,89.23,89.33,1231544,83.1660611721,83.2123674423,82.6381696925,82.7307822328,1231544,0.0,1.0
BUD,2018-09-18 00:00:00+00:00,90.16,90.65,89.71,90.22,1595047,83.4994663171,83.9532677645,83.0827098859,83.5550338413,1595047,0.0,1.0
BUD,2018-09-19 00:00:00+00:00,89.93,90.3,89.22,89.51,1834128,83.2864574745,83.6291238735,82.6289084385,82.8974848053,1834128,0.0,1.0
BUD,2018-09-20 00:00:00+00:00,91.93,92.22,91.38,92.03,1912708,85.1387082801,85.4072846469,84.6293393085,85.2313208204,1912708,0.0,1.0
BUD,2018-09-21 00:00:00+00:00,92.04,92.72,91.5,92.38,1813737,85.2405820744,85.8703473483,84.7404743569,85.5554647114,1813737,0.0,1.0
