symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GME,2018-08-21 00:00:00+00:00,16.49,16.57,15.83,16.0,5193303,3.7863682189,3.8047375007,3.6348216437,3.6738563676,20773212,0.0,1.0
GME,2018-08-22 00:00:00+00:00,16.98,17.27,16.51,16.54,6605593,3.8988800701,3.9654687168,3.7909605393,3.79784902,26422372,0.0,1.0
GME,2018-08-23 00:00:00+00:00,16.76,17.21,16.62,16.98,3583507,3.8483645451,3.9516917554,3.8162183019,3.8988800701,14334028,0.0,1.0
GME,2018-08-24 00:00:00+00:00,16.55,16.84,16.2,16.76,4525550,3.8001451802,3.8667338269,3.7197795722,3.8483645451,18102200,0.0,1.0
GME,2018-08-27 00:00:00+00:00,14.71,16.5,14.55,16.47,14694900,3.377651698,3.7886643791,3.3409131343,3.7817758984,58779600,0.0,1.0
GME,2018-08-28 00:00:00+00:00,14.03,14.75,14.0,14.71,6821967,3.2215128023,3.3868363389,3.2146243217,3.377651698,27287868,0.0,1.0
GME,2018-08-29 00:00:00+00:00,14.12,14.3,13.75,14.14,4099581,3.2421782444,3.2835091286,3.1572203159,3.2467705649,16398324,0.0,1.0
GME,2018-08-30 00:00:00+00:00,13.58,13.99,13.52,13.99,3933447,3.118185592,3.2123281614,3.1044086306,3.2123281614,15733788,0.0,1.0
GME,2018-08-31 00:00:00+00:00,13.27,13.63,13.18,13.61,3724283,3.0470046249,3.1296663932,3.0263391828,3.1250740727,14897132,0.0,1.0
GME,2018-09-04 00:00:00+00:00,14.05,14.1,13.08,13.17,5936032,3.2261051228,3.237585924,3.0033775805,3.0240430226,23744128,0.0,1.0
GME,2018-09-05 00:00:00+00:00,16.26,16.53,13.96,13.97,17471600,3.7335565336,3.7955528598,3.2054396807,3.207735841,69886400,0.0,1.0
GME,2018-09-06 00:00:00+00:00,16.14,16.25,15.08,16.15,6777164,3.7060026108,3.7312603734,3.4626096265,3.7082987711,27108656,0.0,1.0
GME,2018-09-07 00:00:00+00:00,16.13,16.38,14.76,15.25,6796025,3.7037064506,3.7611104563,3.3891324991,3.5016443504,27184100,0.0,1.0
GME,2018-09-10 00:00:00+00:00,16.0,16.35,15.87,16.16,2727699,3.6738563676,3.7542219757,3.6440062846,3.7105949313,10910796,0.0,1.0
GME,2018-09-11 00:00:00+00:00,16.16,16.6001,16.0,16.0,2791083,3.7105949313,3.811648943,3.6738563676,3.6738563676,11164332,0.0,1.0
GME,2018-09-12 00:00:00+00:00,16.66,16.76,16.17,16.17,3396128,3.8254029428,3.8483645451,3.7128910915,3.7128910915,13584512,0.0,1.0
