symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2018-08-21 00:00:00+00:00,105.98,107.35,105.85,106.92,22881861,100.3828299206,101.6804754858,100.2596956699,101.2731852719,22881861,0.0,1.0
MSFT,2018-08-22 00:00:00+00:00,107.06,107.34,105.78,105.85,18000639,101.405791388,101.6710036203,100.1933926119,100.2596956699,18000639,0.0,1.0
MSFT,2018-08-23 00:00:00+00:00,107.56,108.18,106.87,107.15,18167723,101.87938466,102.4666403172,101.2258259447,101.491038177,18167723,0.0,1.0
MSFT,2018-08-24 00:00:00+00:00,108.4,108.56,107.56,107.67,17234020,102.6750213568,102.8265712039,101.87938466,101.9835751798,17234020,0.0,1.0
MSFT,2018-08-27 00:00:00+00:00,109.6,109.64,108.51,109.27,19662331,103.8116452095,103.8495326713,102.7792118767,103.49907365,19662331,0.0,1.0
MSFT,2018-08-28 00:00:00+00:00,110.26,110.5,109.79,109.94,19151528,104.4367883285,104.664113099,103.9916106528,104.1336886344,19151528,0.0,1.0
MSFT,2018-08-29 00:00:00+00:00,112.02,112.03,110.27,110.45,20818044,106.1038366457,106.1133085111,104.4462601939,104.6167537718,20818044,0.0,1.0
MSFT,2018-08-30 00:00:00+00:00,111.95,112.61,111.44,111.67,22798702,106.0375335876,106.6626767066,105.5544684502,105.7723213553,22798702,0.0,1.0
MSFT,2018-08-31 00:00:00+00:00,112.33,112.78,111.52,111.69,23222713,106.3974644743,106.823698419,105.6302433738,105.7912650862,23222713,0.0,1.0
MSFT,2018-09-04 00:00:00+00:00,111.71,111.96,110.22,110.85,22634641,105.8102088171,106.0470054531,104.3989008667,104.9956283894,22634641,0.0,1.0
MSFT,2018-09-05 00:00:00+00:00,108.49,111.42,108.1,111.01,32872352,102.7602681458,105.5355247194,102.3908653937,105.1471782364,32872352,0.0,1.0
MSFT,2018-09-06 00:00:00+00:00,108.74,108.99,107.51,108.25,23477624,102.9970647818,103.2338614177,101.8320253328,102.5329433753,23477624,0.0,1.0
MSFT,2018-09-07 00:00:00+00:00,108.21,108.72,107.23,108.23,22498646,102.4950559135,102.9781210509,101.5668131005,102.5139996444,22498646,0.0,1.0
MSFT,2018-09-10 00:00:00+00:00,109.38,109.64,108.36,108.84,20727906,103.6032641698,103.8495326713,102.6371338951,103.0917834362,20727906,0.0,1.0
MSFT,2018-09-11 00:00:00+00:00,111.24,111.59,108.89,108.9,24301774,105.3650311415,105.6965464318,103.1391427633,103.1486146288,24301774,0.0,1.0
MSFT,2018-09-12 00:00:00+00:00,111.71,111.85,110.51,111.43,18891064,105.8102088171,105.9428149332,104.6735849644,105.5449965848,18891064,0.0,1.0
MSFT,2018-09-13 00:00:00+00:00,112.91,113.73,112.12,112.12,26055620,106.9468326698,107.7235256357,106.1985553001,106.1985553001,26055620,0.0,1.0
MSFT,2018-09-14 00:00:00+00:00,113.37,113.73,112.44,113.36,19122349,107.3825384799,107.7235256357,106.5016549941,107.3730666145,19122349,0.0,1.0
