symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
PANW,2018-08-21 00:00:00+00:00,212.29,215.25,211.28,213.19,888356,70.7633333333,71.75,70.4266666667,71.0633333333,2665068,0.0,1.0
PANW,2018-08-22 00:00:00+00:00,215.59,216.97,212.59,213.03,1108640,71.8633333333,72.3233333333,70.8633333333,71.01,3325920,0.0,1.0
PANW,2018-08-23 00:00:00+00:00,216.71,219.91,214.1,216.58,1276577,72.2366666667,73.3033333333,71.3666666667,72.1933333333,3829731,0.0,1.0
PANW,2018-08-24 00:00:00+00:00,225.43,226.71,219.22,219.22,2167312,75.1433333333,75.57,73.0733333333,73.0733333333,6501936,0.0,1.0
PANW,2018-08-27 00:00:00+00:00,226.75,227.49,223.66,225.4,1235105,75.5833333333,75.83,74.5533333333,75.1333333333,3705315,0.0,1.0
PANW,2018-08-28 00:00:00+00:00,229.22,229.62,226.62,228.0,868334,76.4066666667,76.54,75.54,76.0,2605002,0.0,1.0
PANW,2018-08-29 00:00:00+00:00,231.23,232.31,229.0,229.0,927909,77.0766666667,77.4366666667,76.3333333333,76.3333333333,2783727,0.0,1.0
PANW,2018-08-30 00:00:00+00:00,230.24,232.3,229.17,231.0,859920,76.7466666667,77.4333333333,76.39,77.0,2579760,0.0,1.0
PANW,2018-08-31 00:00:00+00:00,231.15,232.16,229.17,229.17,826338,77.05,77.3866666667,76.39,76.39,2479014,0.0,1.0
PANW,2018-09-04 00:00:00+00:00,229.03,232.88,228.38,230.41,1333582,76.3433333333,77.6266666667,76.1266666667,76.8033333333,4000746,0.0,1.0
PANW,2018-09-05 00:00:00+00:00,222.23,228.84,220.14,228.5,1690009,74.0766666667,76.28,73.38,76.1666666667,5070027,0.0,1.0
PANW,2018-09-06 00:00:00+00:00,220.37,224.41,218.87,223.0,2115033,73.4566666667,74.8033333333,72.9566666667,74.3333333333,6345099,0.0,1.0
PANW,2018-09-07 00:00:00+00:00,227.61,234.35,227.0,231.85,3236697,75.87,78.1166666667,75.6666666667,77.2833333333,9710091,0.0,1.0
PANW,2018-09-10 00:00:00+00:00,236.12,237.82,228.32,228.32,2262127,78.7066666667,79.2733333333,76.1066666667,76.1066666667,6786381,0.0,1.0
PANW,2018-09-11 00:00:00+00:00,234.12,238.2475,233.0,235.41,1197425,78.04,79.4158333333,77.6666666667,78.47,3592275,0.0,1.0
PANW,2018-09-12 00:00:00+00:00,236.23,236.98,230.01,234.12,1208418,78.7433333333,78.9933333333,76.67,78.04,3625254,0.0,1.0
PANW,2018-09-13 00:00:00+00:00,236.1,239.5,234.64,237.25,792525,78.7,79.8333333333,78.2133333333,79.0833333333,2377575,0.0,1.0
