symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TSLA,2018-08-21 00:00:00+00:00,321.9,324.79,309.0,310.61,13172230,21.46,21.6526666667,20.6,20.7073333333,197583450,0.0,1.0
TSLA,2018-08-22 00:00:00+00:00,321.64,323.88,314.67,320.87,5945955,21.4426666667,21.592,20.978,21.3913333333,89189325,0.0,1.0
TSLA,2018-08-23 00:00:00+00:00,320.1,327.32,318.1,319.14,5147286,21.34,21.8213333333,21.2066666667,21.276,77209290,0.0,1.0
TSLA,2018-08-24 00:00:00+00:00,322.82,323.85,319.4,320.7,3602564,21.5213333333,21.59,21.2933333333,21.38,54038460,0.0,1.0
TSLA,2018-08-27 00:00:00+00:00,319.27,322.44,308.81,318.0,13079288,21.2846666667,21.496,20.5873333333,21.2,196189320,0.0,1.0
TSLA,2018-08-28 00:00:00+00:00,311.86,318.88,311.19,318.41,7649091,20.7906666667,21.2586666667,20.746,21.2273333333,114736365,0.0,1.0
TSLA,2018-08-29 00:00:00+00:00,305.01,311.85,303.69,310.27,7447392,20.334,20.79,20.246,20.6846666667,111710880,0.0,1.0
TSLA,2018-08-30 00:00:00+00:00,303.15,304.6,297.72,302.26,7216706,20.21,20.3066666667,19.848,20.1506666667,108250590,0.0,1.0
TSLA,2018-08-31 00:00:00+00:00,301.66,305.31,298.6,302.0,5375104,20.1106666667,20.354,19.9066666667,20.1333333333,80626560,0.0,1.0
TSLA,2018-09-04 00:00:00+00:00,288.95,298.19,288.0,296.94,8350469,19.2633333333,19.8793333333,19.2,19.796,125257035,0.0,1.0
TSLA,2018-09-05 00:00:00+00:00,280.74,286.78,277.18,285.05,7720821,18.716,19.1186666667,18.4786666667,19.0033333333,115812315,0.0,1.0
TSLA,2018-09-06 00:00:00+00:00,280.95,291.17,278.88,284.8,7480760,18.73,19.4113333333,18.592,18.9866666667,112211400,0.0,1.0
TSLA,2018-09-07 00:00:00+00:00,263.24,268.35,252.25,260.1,22491931,17.5493333333,17.89,16.8166666667,17.34,337378965,0.0,1.0
TSLA,2018-09-10 00:00:00+00:00,285.5,286.03,271.0,273.26,14283528,19.0333333333,19.0686666667,18.0666666667,18.2173333333,214252920,0.0,1.0
TSLA,2018-09-11 00:00:00+00:00,279.44,282.0,273.55,279.47,9169989,18.6293333333,18.8,18.2366666667,18.6313333333,137549835,0.0,1.0
TSLA,2018-09-12 00:00:00+00:00,290.54,292.5,278.65,281.44,10015427,19.3693333333,19.5,18.5766666667,18.7626666667,150231405,0.0,1.0
TSLA,2018-09-13 00:00:00+00:00,289.46,295.0,285.18,288.02,6340336,19.2973333333,19.6666666667,19.012,19.2013333333,95105040,0.0,1.0
TSLA,2018-09-14 00:00:00+00:00,295.2,297.33,286.52,288.76,6765612,19.68,19.822,19.1013333333,19.2506666667,101484180,0.0,1.0
TSLA,2018-09-17 00:00:00+00:00,294.84,300.87,288.13,290.04,6887577,19.656,20.058,19.2086666667,19.336,103313655,0.0,1.0
TSLA,2018-09-18 00:00:00+00:00,284.96,302.64,275.5,296.69,16547522,18.9973333333,20.176,18.3666666667,19.7793333333,248212830,0.0,1.0
TSLA,2018-09-19 00:00:00+00:00,299.02,300.0,280.5,280.51,8294917,19.9346666667,20.0,18.7,18.7006666667,124423755,0.0,1.0
TSLA,2018-09-20 00:00:00+00:00,298.33,305.98,293.33,303.56,7349422,19.8886666667,20.3986666667,19.5553333333,20.2373333333,110241330,0.0,1.0
TSLA,2018-09-21 00:00:00+00:00,299.1,300.58,295.37,297.7,5050478,19.94,20.0386666667,19.6913333333,19.8466666667,75757170,0.0,1.0
TSLA,2018-09-24 00:00:00+00:00,299.68,303.0,293.58,298.48,4842961,19.9786666667,20.2,19.572,19.8986666667,72644415,0.0,1.0
TSLA,2018-09-25 00:00:00+00:00,300.99,304.6,296.5,300.0,4481729,20.066,20.3066666667,19.7666666667,20.0,67225935,0.0,1.0
TSLA,2018-09-26 00:00:00+00:00,309.58,313.89,301.11,301.91,7843216,20.6386666667,20.926,20.074,20.1273333333,117648240,0.0,1.0
TSLA,2018-09-27 00:00:00+00:00,307.52,314.96,306.91,312.9,8509084,20.5013333333,20.9973333333,20.4606666667,20.86,127636260,0.0,1.0
TSLA,2018-09-28 00:00:00+00:00,264.77,278.0,260.56,270.26,33649700,17.6513333333,18.5333333333,17.3706666667,18.0173333333,504745500,0.0,1.0
TSLA,2018-10-01 00:00:00+00:00,310.7,311.44,301.05,305.77,21777597,20.7133333333,20.7626666667,20.07,20.3846666667,326663955,0.0,1.0
TSLA,2018-10-02 00:00:00+00:00,301.02,316.84,299.15,313.95,11743511,20.068,21.1226666667,19.9433333333,20.93,176152665,0.0,1.0
TSLA,2018-10-03 00:00:00+00:00,294.8,304.6,291.57,303.33,7994988,19.6533333333,20.3066666667,19.438,20.222,119924820,0.0,1.0
