symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
V,2018-08-21 00:00:00+00:00,140.04,141.46,139.8,141.0,6854347,135.382414446,136.7551867148,135.1503965978,136.310485839,6854347,0.0,1.0
V,2018-08-22 00:00:00+00:00,141.14,141.53,139.85,139.85,4191949,136.4458295838,136.8228585872,135.1987336495,135.1987336495,4191949,0.0,1.0
V,2018-08-23 00:00:00+00:00,142.1,142.45,140.77,141.01,4427093,137.3739009767,137.7122603387,136.0881354011,136.3201532493,4427093,0.0,1.0
V,2018-08-24 00:00:00+00:00,144.2,144.38,142.32,142.32,5714023,139.4040571488,139.578070535,137.5865840043,137.5865840043,5714023,0.0,1.0
V,2018-08-27 00:00:00+00:00,145.4,145.6,144.71,144.99,7194938,140.56414639,140.7574945968,139.8970950763,140.1677825659,7194938,0.0,1.0
V,2018-08-28 00:00:00+00:00,145.2,146.17,144.87,145.63,4926041,140.3707981831,141.3085369864,140.0517736418,140.7864968279,4926041,0.0,1.0
V,2018-08-29 00:00:00+00:00,147.03,147.3,145.42,145.46,5192935,142.1399342759,142.4009543552,140.5834812107,140.622150852,5192935,0.0,1.0
V,2018-08-30 00:00:00+00:00,146.74,147.71,146.36,146.82,7804963,141.859579376,142.7973181793,141.4922177829,141.9369186587,7804963,0.0,1.0
V,2018-08-31 00:00:00+00:00,146.89,147.64,146.5,146.74,5786569,142.0045905311,142.7296463069,141.6275615277,141.859579376,5786569,0.0,1.0
V,2018-09-04 00:00:00+00:00,147.8,147.86,146.67,146.93,7638091,142.8843248723,142.9423293344,141.7919075036,142.0432601725,7638091,0.0,1.0
V,2018-09-05 00:00:00+00:00,142.67,147.82,142.55,147.0,11363400,137.9249433663,142.903659693,137.8089344422,142.1109320449,11363400,0.0,1.0
V,2018-09-06 00:00:00+00:00,144.5,144.7,142.54,143.29,9589246,139.6940794591,139.887427666,137.7992670318,138.5243228076,9589246,0.0,1.0
V,2018-09-07 00:00:00+00:00,143.2,144.44,142.75,143.99,13626619,138.4373161145,139.636074997,138.002282649,139.2010415316,13626619,0.0,1.0
V,2018-09-10 00:00:00+00:00,144.08,144.44,143.21,144.13,5362684,139.2880482247,139.636074997,138.4469835248,139.3363852764,5362684,0.0,1.0
V,2018-09-11 00:00:00+00:00,145.49,145.52,143.25,143.46,9896017,140.6511530831,140.6801553141,138.4856531662,138.6886687834,9896017,0.0,1.0
V,2018-09-12 00:00:00+00:00,146.57,146.8,145.07,145.85,6964135,141.6952334001,141.917583838,140.2451218487,140.9991798554,6964135,0.0,1.0
V,2018-09-13 00:00:00+00:00,147.63,148.07,147.09,147.15,5803447,142.7199788965,143.1453449516,142.197938738,142.2559432,5803447,0.0,1.0
V,2018-09-14 00:00:00+00:00,147.84,148.37,147.35,147.91,4928283,142.9229945137,143.4353672619,142.4492914069,142.9906663861,4928283,0.0,1.0
V,2018-09-17 00:00:00+00:00,146.18,147.9,145.83,147.83,7708643,141.3182043967,142.9809989758,140.9798450347,142.9133271034,7708643,0.0,1.0
V,2018-09-18 00:00:00+00:00,147.63,148.09,145.95,146.2,5692208,142.7199788965,143.1646797723,141.0958539589,141.3375392174,5692208,0.0,1.0
V,2018-09-19 00:00:00+00:00,147.42,148.82,147.25,148.28,7432335,142.5169632793,143.8704007273,142.3526173035,143.3483605688,7432335,0.0,1.0
V,2018-09-20 00:00:00+00:00,149.24,149.49,147.2,147.99,7172740,144.2764319618,144.5181172203,142.3042802518,143.0680056689,7172740,0.0,1.0
V,2018-09-21 00:00:00+00:00,150.05,150.26,149.35,149.95,15628076,145.0594921996,145.2625078168,144.3827734755,144.9628180961,15628076,0.0,1.0
V,2018-09-24 00:00:00+00:00,149.11,149.65,147.27,149.16,6706692,144.1507556273,144.6727957858,142.3719521242,144.199092679,6706692,0.0,1.0
V,2018-09-25 00:00:00+00:00,149.58,149.96,149.1,149.71,4230860,144.6051239134,144.9724855065,144.141088217,144.7308002479,4230860,0.0,1.0
V,2018-09-26 00:00:00+00:00,149.27,150.42,149.04,150.0,5852463,144.3054341928,145.4171863823,144.0830837549,145.0111551478,5852463,0.0,1.0
V,2018-09-27 00:00:00+00:00,150.02,150.64,149.56,149.9,5868620,145.0304899685,145.6298694098,144.5857890927,144.9144810444,5868620,0.0,1.0
V,2018-09-28 00:00:00+00:00,150.09,150.37,149.55,149.81,6035936,145.0981618409,145.3688493305,144.5761216824,144.8274743513,6035936,0.0,1.0
V,2018-10-01 00:00:00+00:00,150.79,151.56,150.61,150.89,9802691,145.774880565,146.5192711614,145.6008671788,145.8715546684,9802691,0.0,1.0
V,2018-10-02 00:00:00+00:00,149.67,150.84,149.17,150.84,8047706,144.6921306065,145.8232176167,144.2087600894,145.8232176167,8047706,0.0,1.0
V,2018-10-03 00:00:00+00:00,149.37,150.71,149.19,150.71,7521101,144.4021082962,145.6975412822,144.22809491,145.6975412822,7521101,0.0,1.0
V,2018-10-04 00:00:00+00:00,146.76,149.28,146.1,149.18,9208887,141.8789141967,144.3151016031,141.240865114,144.2184274997,9208887,0.0,1.0
V,2018-10-05 00:00:00+00:00,145.36,147.41,144.4,146.64,7085718,140.5254767486,142.507295869,139.5974053557,141.7629052725,7085718,0.0,1.0
V,2018-10-08 00:00:00+00:00,141.89,145.01,140.18,145.01,11637314,137.1708853595,140.1871173866,135.5177581908,140.1871173866,11637314,0.0,1.0
V,2018-10-09 00:00:00+00:00,142.31,143.29,141.12,141.46,10798415,137.5769165939,138.5243228076,136.4264947631,136.7551867148,10798415,0.0,1.0
V,2018-10-10 00:00:00+00:00,135.52,142.69,135.21,142.57,15450100,131.0127449709,137.944278187,130.7130552503,137.8282692629,15450100,0.0,1.0
V,2018-10-11 00:00:00+00:00,133.73,137.24,132.26,134.09,15657170,129.2822785195,132.6755395499,127.861169199,129.6303052918,15657170,0.0,1.0
V,2018-10-12 00:00:00+00:00,140.06,140.98,137.43,138.48,12993257,135.4017492667,136.2911510183,132.8592203465,133.8742984325,12993257,0.0,1.0
V,2018-10-15 00:00:00+00:00,137.23,140.06,137.22,139.9,7953001,132.6658721396,135.4017492667,132.6562047292,135.2470707012,7953001,0.0,1.0
V,2018-10-16 00:00:00+00:00,141.74,142.14,138.68,138.71,11059518,137.0258742044,137.4125706181,134.0676466394,134.0966488704,11059518,0.0,1.0
V,2018-10-17 00:00:00+00:00,142.45,142.86,140.73,142.34,9170646,137.7122603387,138.1086241628,136.0494657597,137.605918825,9170646,0.0,1.0
V,2018-10-18 00:00:00+00:00,139.29,142.46,137.95,142.46,10222553,134.6573586703,137.7219277491,133.3619256843,137.7219277491,10222553,0.0,1.0
V,2018-10-19 00:00:00+00:00,140.08,142.19,139.38,139.9,8696873,135.4210840874,137.4609076698,134.7443653634,135.2470707012,8696873,0.0,1.0
V,2018-10-22 00:00:00+00:00,140.64,141.54,139.51,140.97,6099509,135.9624590666,136.8325259975,134.8700416978,136.2814836079,6099509,0.0,1.0
V,2018-10-23 00:00:00+00:00,139.12,140.04,135.59,136.89,10736088,134.4930126945,135.382414446,131.0804168433,132.3371801879,10736088,0.0,1.0
V,2018-10-24 00:00:00+00:00,134.26,140.18,134.0,139.7,13849587,129.7946512677,135.5177581908,129.5432985987,135.0537224944,13849587,0.0,1.0
V,2018-10-25 00:00:00+00:00,140.52,140.9,132.5,135.45,14985905,135.8464501425,136.2138117355,128.0931870473,130.9450730985,14985905,0.0,1.0
V,2018-10-26 00:00:00+00:00,137.74,139.87,136.06,137.98,12034937,133.1589100671,135.2180684702,131.5347851294,133.3909279153,12034937,0.0,1.0
