symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
W,2018-08-21 00:00:00+00:00,124.95,125.3999,120.84,121.61,778026,124.95,125.3999,120.84,121.61,778026,0.0,1.0
W,2018-08-22 00:00:00+00:00,127.34,129.06,124.47,125.11,1120478,127.34,129.06,124.47,125.11,1120478,0.0,1.0
W,2018-08-23 00:00:00+00:00,130.82,134.22,127.34,127.34,1709001,130.82,134.22,127.34,127.34,1709001,0.0,1.0
W,2018-08-24 00:00:00+00:00,128.53,133.2099,127.65,131.24,1357193,128.53,133.2099,127.65,131.24,1357193,0.0,1.0
W,2018-08-27 00:00:00+00:00,128.74,130.61,127.19,130.0,1002274,128.74,130.61,127.19,130.0,1002274,0.0,1.0
W,2018-08-28 00:00:00+00:00,130.64,130.909,127.28,128.64,1439899,130.64,130.909,127.28,128.64,1439899,0.0,1.0
W,2018-08-29 00:00:00+00:00,131.8,131.9,127.94,130.44,1117839,131.8,131.9,127.94,130.44,1117839,0.0,1.0
W,2018-08-30 00:00:00+00:00,132.96,135.82,130.94,131.33,1019175,132.96,135.82,130.94,131.33,1019175,0.0,1.0
W,2018-08-31 00:00:00+00:00,135.17,135.4204,131.51,132.31,1039304,135.17,135.4204,131.51,132.31,1039304,0.0,1.0
W,2018-09-04 00:00:00+00:00,138.86,139.42,133.77,134.86,1763914,138.86,139.42,133.77,134.86,1763914,0.0,1.0
W,2018-09-05 00:00:00+00:00,133.46,138.42,130.32,138.0,1393662,133.46,138.42,130.32,138.0,1393662,0.0,1.0
W,2018-09-06 00:00:00+00:00,132.95,134.52,131.68,133.45,895875,132.95,134.52,131.68,133.45,895875,0.0,1.0
W,2018-09-07 00:00:00+00:00,133.86,140.39,132.0,132.47,2110801,133.86,140.39,132.0,132.47,2110801,0.0,1.0
W,2018-09-10 00:00:00+00:00,138.78,139.44,134.0,135.89,1276973,138.78,139.44,134.0,135.89,1276973,0.0,1.0
W,2018-09-11 00:00:00+00:00,143.96,144.35,138.02,138.59,1070451,143.96,144.35,138.02,138.59,1070451,0.0,1.0
W,2018-09-12 00:00:00+00:00,149.5,149.9,142.69,143.4,1745638,149.5,149.9,142.69,143.4,1745638,0.0,1.0
W,2018-09-13 00:00:00+00:00,148.04,149.62,145.57,147.46,1246103,148.04,149.62,145.57,147.46,1246103,0.0,1.0
W,2018-09-14 00:00:00+00:00,149.92,151.1989,147.5438,148.6,1148780,149.92,151.1989,147.5438,148.6,1148780,0.0,1.0
W,2018-09-17 00:00:00+00:00,142.23,147.8008,141.7,147.59,1751387,142.23,147.8008,141.7,147.59,1751387,0.0,1.0
W,2018-09-18 00:00:00+00:00,143.26,145.055,142.3,142.3,985684,143.26,145.055,142.3,142.3,985684,0.0,1.0
W,2018-09-19 00:00:00+00:00,139.03,146.86,130.72,146.27,1946390,139.03,146.86,130.72,146.27,1946390,0.0,1.0
W,2018-09-20 00:00:00+00:00,137.61,140.22,135.921,138.65,1137094,137.61,140.22,135.921,138.65,1137094,0.0,1.0
