symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
WMT,2018-08-21 00:00:00+00:00,96.08,96.36,95.36,95.96,10531269,88.2545268107,88.5117215183,87.5931689911,88.1443005074,10531269,0.0,1.0
WMT,2018-08-22 00:00:00+00:00,95.67,96.85,95.23,96.2,7765671,87.8779202746,88.9618122566,87.4737571626,88.364753114,7765671,0.0,1.0
WMT,2018-08-23 00:00:00+00:00,95.18,95.86,95.06,95.5,6096381,87.4278295363,88.0524452547,87.317603233,87.7217663449,6096381,0.0,1.0
WMT,2018-08-24 00:00:00+00:00,94.95,95.66,94.35,95.09,8594514,87.216562455,87.8687347493,86.6654309387,87.3451598088,8594514,0.0,1.0
WMT,2018-08-27 00:00:00+00:00,94.54,95.61,94.29,95.26,7040258,86.8399559189,87.8228071229,86.6103177871,87.5013137384,7040258,0.0,1.0
WMT,2018-08-28 00:00:00+00:00,96.07,96.35,94.53,94.77,9983002,88.2453412854,88.502535993,86.8307703936,87.0512230001,9983002,0.0,1.0
WMT,2018-08-29 00:00:00+00:00,95.64,96.83,95.53,96.28,7862835,87.8503636987,88.9434412061,87.7493229208,88.4382373161,7862835,0.0,1.0
WMT,2018-08-30 00:00:00+00:00,96.1,96.5,95.45,95.5,7058718,88.2728978612,88.6403188721,87.6758387186,87.7217663449,7058718,0.0,1.0
WMT,2018-08-31 00:00:00+00:00,95.86,96.44,95.11,96.19,6324813,88.0524452547,88.5852057205,87.3635308593,88.3555675887,6324813,0.0,1.0
WMT,2018-09-04 00:00:00+00:00,95.36,96.27,95.24,95.8,8280741,87.5931689911,88.4290517909,87.4829426879,87.9973321031,8280741,0.0,1.0
WMT,2018-09-05 00:00:00+00:00,96.62,96.83,95.36,95.67,9474608,88.7505451754,88.9434412061,87.5931689911,87.8779202746,9474608,0.0,1.0
WMT,2018-09-06 00:00:00+00:00,96.45,96.72,96.01,96.53,6150827,88.5943912458,88.8424004281,88.1902281338,88.6678754479,6150827,0.0,1.0
